address;source_location;insn;indent
0x330d0;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:157;ENDBR64;
0x330d4;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:157;PUSH	%RBP;
0x330d5;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:157;MOV	%RSP,%RBP;
0x330d8;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:157;PUSH	%R15;
0x330da;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:157;PUSH	%R14;
0x330dc;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:157;PUSH	%R13;
0x330de;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:157;PUSH	%R12;
0x330e0;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:157;PUSH	%RBX;
0x330e1;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:157;AND	$-0x20,%RSP;
0x330e5;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:157;SUB	$0x5a0,%RSP;
0x330ec;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:157;MOV	0x44(%RDI),%EAX;
0x330ef;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:158;MOV	0x40(%RDI),%ECX;
0x330f2;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;MOV	0x38(%RDI),%EDX;
0x330f5;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;MOV	0x3c(%RDI),%ESI;
0x330f8;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:157;MOV	%EAX,0x54(%RSP);
0x330fc;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:158;LEA	0x1(%RCX),%R15D;
0x33100;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:158;ADD	$0x4,%EAX;
0x33103;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;INC	%EDX;
0x33105;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:158;MOV	%EAX,0x5c(%RSP);
0x33109;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;MOV	%EDX,0x58(%RSP);
0x3310d;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;CMP	%EAX,%R15D;
0x33110;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;JGE	34353 <_Z17advec_cell_kerneliiiiiiRN6clover8Buffer1DIdEES2_RNS_8Buffer2DIdEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_._omp_fn.6+0x1283>;
0x33116;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;MOV	%EAX,%R13D;
0x33119;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;LEA	0x2(%RSI),%R14D;
0x3311d;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;SUB	%R15D,%R13D;
0x33120;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;CMP	%R14D,%EDX;
0x33123;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;JGE	34353 <_Z17advec_cell_kerneliiiiiiRN6clover8Buffer1DIdEES2_RNS_8Buffer2DIdEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_._omp_fn.6+0x1283>;
0x33129;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;MOV	%RDI,%RBX;
0x3312c;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;MOV	%R14D,%EDI;
0x3312f;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;SUB	%EDX,%EDI;
0x33131;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;MOV	%EDI,0x60(%RSP);
0x33135;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;CALL	3b00 <.plt.sec@start+0x530>;
0x3313a;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;MOV	%EAX,%R12D;
0x3313d;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;CALL	39f0 <.plt.sec@start+0x420>;
0x33142;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;XOR	%EDX,%EDX;
0x33144;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;MOV	%EAX,%R8D;
0x33147;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;MOV	0x60(%RSP),%EAX;
0x3314b;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;IMUL	%R13D,%EAX;
0x3314f;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;DIV	%R12D;
0x33152;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;MOV	%EAX,%ECX;
0x33154;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;CMP	%EDX,%R8D;
0x33157;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;JB	34401 <_Z17advec_cell_kerneliiiiiiRN6clover8Buffer1DIdEES2_RNS_8Buffer2DIdEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_._omp_fn.6+0x1331>;
0x3315d;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;IMUL	%ECX,%R8D;
0x33161;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;LEA	(%R8,%RDX,1),%EAX;
0x33165;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;LEA	(%RCX,%RAX,1),%R9D;
0x33169;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;MOV	%EAX,0x2fc(%RSP);
0x33170;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;MOV	%R9D,0x50(%RSP);
0x33175;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;CMP	%R9D,%EAX;
0x33178;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;JAE	34353 <_Z17advec_cell_kerneliiiiiiRN6clover8Buffer1DIdEES2_RNS_8Buffer2DIdEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_._omp_fn.6+0x1283>;
0x3317e;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;XOR	%EDX,%EDX;
0x33180;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:159;MOV	0x58(%RSP),%R10D;
0x33185;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:189;MOV	0x18(%RBX),%RDI;
0x33189;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:189;DIVL	0x60(%RSP);
0x3318d;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:174;MOV	0x28(%RBX),%RSI;
0x33191;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:178;MOV	0x8(%RBX),%R13;
0x33195;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:191;MOV	0x10(%RBX),%R12;
0x33199;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:189;MOV	%RDI,0x28(%RSP);
0x3319e;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:174;MOV	%RSI,0x40(%RSP);
0x331a3;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:178;MOV	%R13,0x30(%RSP);
0x331a8;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:191;MOV	%R12,0x20(%RSP);
0x331ad;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:191;LEA	(%RAX,%R15,1),%R11D;
0x331b1;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:191;ADD	%EDX,%R10D;
0x331b4;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:163;MOV	0x20(%RBX),%R15;
0x331b8;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:163;MOV	%R14D,%EDX;
0x331bb;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:163;MOVSXD	%R11D,%R8;
0x331be;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:175;MOV	(%RBX),%R14;
0x331c1;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;MOV	0x30(%RBX),%RBX;
0x331c5;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;MOV	%R10D,0x2f8(%RSP);
0x331cd;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;LEA	-0x1(%R8),%R9;
0x331d1;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:163;MOV	%R15,0x48(%RSP);
0x331d6;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:163;SUB	%R10D,%EDX;
0x331d9;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:163;LEA	-0x2(%R11),%EDI;
0x331dd;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:175;MOV	%R14,0x38(%RSP);
0x331e2;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;MOV	%RBX,0x18(%RSP);
0x331e7;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;MOV	%R9,0x2c8(%RSP);
0x331ef;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;NOP;
0x331f0;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;CMP	%EDX,%ECX;(234) 
0x331f2;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;CMOVBE	%ECX,%EDX;(234) 
0x331f5;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;LEA	0x3(%RDI),%ECX;(234) 
0x331f8;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;MOV	%ECX,0x124(%RSP);(234) 
0x331ff;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;MOV	%EDX,%R9D;(234) 
0x33202;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;MOV	0x2fc(%RSP),%EDX;(234) 
0x33209;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;LEA	(%RDX,%R9,1),%EAX;(234) 
0x3320d;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;MOV	%EAX,0x2c4(%RSP);(234) 
0x33214;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;CMP	%EAX,%EDX;(234) 
0x33216;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:202;JAE	343e0 <_Z17advec_cell_kerneliiiiiiRN6clover8Buffer1DIdEES2_RNS_8Buffer2DIdEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_._omp_fn.6+0x1310>;(234) 
0x3321c;/home/penda/aoc/CloverLeaf/src/omp/context.h:69;MOV	0x48(%RSP),%R15;(234) 
0x33221;/home/penda/aoc/CloverLeaf/src/omp/context.h:69;MOV	0x40(%RSP),%RSI;(234) 
0x33226;/home/penda/aoc/CloverLeaf/src/omp/context.h:69;MOV	0x28(%RSP),%RAX;(234) 
0x3322b;/home/penda/aoc/CloverLeaf/src/omp/context.h:46;MOV	0x38(%RSP),%R13;(234) 
0x33230;/home/penda/aoc/CloverLeaf/src/omp/context.h:46;MOV	0x2c8(%RSP),%R8;(234) 
0x33238;/home/penda/aoc/CloverLeaf/src/omp/context.h:69;MOV	(%RSI),%R14;(234) 
0x3323b;/home/penda/aoc/CloverLeaf/src/omp/context.h:69;MOV	(%R15),%R10;(234) 
0x3323e;/home/penda/aoc/CloverLeaf/src/omp/context.h:46;MOV	0x8(%R13),%RCX;(234) 
0x33242;/home/penda/aoc/CloverLeaf/src/omp/context.h:69;MOV	0x10(%RSI),%RBX;(234) 
0x33246;/home/penda/aoc/CloverLeaf/src/omp/context.h:69;MOV	(%RAX),%R13;(234) 
0x33249;/home/penda/aoc/CloverLeaf/src/omp/context.h:69;INC	%R8;(234) 
0x3324c;/home/penda/aoc/CloverLeaf/src/omp/context.h:69;MOV	%R14,0x1f8(%RSP);(234) 
0x33254;/home/penda/aoc/CloverLeaf/src/omp/context.h:69;MOV	0x18(%RSP),%RSI;(234) 
