address;source_location;insn;indent
0x31424;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VMOVUPD	(%RDI,%RAX,1),%YMM11;
0x31429;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VMOVUPD	(%R14,%RAX,1),%YMM13;
0x3142f;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VADDPD	(%R15,%RAX,1),%YMM11,%YMM12;
0x31435;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VADDPD	(%R8,%RAX,1),%YMM13,%YMM14;
0x3143b;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VSUBPD	%YMM14,%YMM12,%YMM15;
0x31440;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VADDPD	(%R13,%RAX,1),%YMM15,%YMM3;
0x31447;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VMOVUPD	%YMM3,(%R12,%RAX,1);
0x3144d;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:140;VMOVUPD	(%R8,%RAX,1),%YMM0;
0x31453;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:140;VSUBPD	(%RDI,%RAX,1),%YMM0,%YMM2;
0x31458;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:140;VADDPD	%YMM3,%YMM2,%YMM4;
0x3145c;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:140;VMOVUPD	%YMM4,(%RBX,%RAX,1);
0x31461;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VMOVUPD	0x20(%RDI,%RAX,1),%YMM1;
0x31467;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VMOVUPD	0x20(%R14,%RAX,1),%YMM6;
0x3146e;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VADDPD	0x20(%R15,%RAX,1),%YMM1,%YMM5;
0x31475;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VADDPD	0x20(%R8,%RAX,1),%YMM6,%YMM7;
0x3147c;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VSUBPD	%YMM7,%YMM5,%YMM8;
0x31480;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VADDPD	0x20(%R13,%RAX,1),%YMM8,%YMM9;
0x31487;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VMOVUPD	%YMM9,0x20(%R12,%RAX,1);
0x3148e;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:140;VMOVUPD	0x20(%R8,%RAX,1),%YMM10;
0x31495;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:140;VSUBPD	0x20(%RDI,%RAX,1),%YMM10,%YMM11;
0x3149b;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:140;VADDPD	%YMM9,%YMM11,%YMM12;
0x314a0;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:140;VMOVUPD	%YMM12,0x20(%RBX,%RAX,1);
0x314a6;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VMOVUPD	0x40(%RDI,%RAX,1),%YMM13;
0x314ac;/home/penda/aoc/CloverLeaf/src/omp/advec_cell.cpp:139;VMOVUPD	0x40(%R14,%RAX,1),%YMM15;
